title,achievement,flavorText,trigger,id,category,tags,points,iconPath,rarity
50 series,Library Boss,Fifty series completed. You are the endgame content. The System offers you a throne made of bookmarks.,Finish 50 complete series.,finish_50_complete_series_library_boss,milestone_series,series,300,/icons/libboss.png,Legendary
The Chronicler,One Thousand Hours of Damage,"A thousand hours of listening. The System would give you a medal, but it spent the budget on traps.","Reach 1,000 hours of total listening time.",reach_1_000_hours_of_total_listening_time_one_thousand_hours,milestone_time,time,250,/icons/1000hours.png,Legendary
Century Club,Triple-Digit Menace,One hundred books finished. At this point the System isn't rewarding you. It's documenting you.,Finish 100 books total.,finish_100_books_total_triple_digit_menace,milestone_books,books,150,/icons/100done.png,Legendary
25 series,Continuity Terrorist,Twenty-five series. You've crushed more arcs than most editors. The System fears your momentum.,Finish 25 complete series.,finish_25_complete_series_continuity_terrorist,milestone_series,series,150,/icons/continuity.png,Legendary
Deep Diver,Sonic Depth Charge,Five hundred hours. You've been listening long enough to develop plot-based instincts.,Reach 500 hours of total listening time.,reach_500_hours_of_total_listening_time_sonic_depth_charge,milestone_time,time,100,/icons/deepdiver.png,Legendary
Gold Scholar,Fifty Shades of Completion,Fifty books. Your brain is now 12% audiobook and 88% opinions. The System approves. Reluctantly.,Finish 50 books total.,finish_50_books_total_fifty_shades_of_completion,milestone_books,books,75,/icons/goldscholar.png,Epic
Series Master,Box Set Executioner,Ten series completed. You don't finish stories. You hunt them.,Finish 10 complete series.,finish_10_complete_series_box_set_executioner,milestone_series,series,75,/icons/boxset.png,Epic
Backlog Resident,Backlog Resident,At this point you should pay rent.,Finish 50 books by the same author,finish_50_books_by_the_same_author_backlog_resident,author,author,75,/icons/backlog.png,Epic
Franchise Loyalist,Franchise Loyalist,"At this point, you're their unpaid marketing team.",Finish 5 complete series by the same author,finish_5_complete_series_by_the_same_author_franchise_loyalist,author,author,60,/icons/loyalist.png,Epic
Catching Up,Long-Form Suffering Enjoyer,You completed a series with more than ten books. The System calls this 'endurance.' Your friends call it 'a cry for help.',Finish a series with more than 10 books.,finish_a_series_that_has_more_than_10_books_long_form_suffer,series_shape,series,50,/icons/longform.png,Epic
Bibliophile,Backlist Devourer,Ten books by the same author. At this point you're funding their coffee habit personally.,Finish 10 books by the same author.,finish_10_books_by_the_same_author_backlist_devourer,author,author,40,/icons/biblio.png,Rare
The Epic,Fifty-Hour Boss Fight,You finished a book longer than 50 hours. The System has no reward worthy of this. It offers trauma instead.,Finish a book that is over 50 hours long.,finish_a_book_that_is_over_50_hours_long_fifty_hour_boss_fig,duration,duration,40,/icons/theepic.png,Rare
Silver Scholar,Quarter-Stacked,Twenty-five completions. That's not 'a phase.' That's a lifestyle choice.,Finish 25 books total.,finish_25_books_total_quarter_stacked,milestone_books,books,40,/icons/qtrstack.png,Rare
Serial Listener,Franchise Destroyer,Five series completed. The System is updating your title to: 'Problematic.',Finish 5 complete series.,finish_5_complete_series_franchise_destroyer,milestone_series,series,40,/icons/franchise.png,Rare
Narrator Junkie,Audio Imprint,Ten books by the same narrator. You don't listen to books. You listen to a person.,finish 10 books by the same narrator,finish_10_books_narrated_by_the_same_person_audio_imprint,narrator,narrator,40,/icons/junkie.png,Rare
Main Character Syndrome,Main Character Syndrome,You don't read authors. You live in their backlog.,Finish 20 books by the same author,finish_20_books_by_the_same_author_main_character_syndrome,author,author,40,/icons/mcsyndrome.png,Rare
Franchise Devotee,Franchise Devotee,You don't follow authors. You pledge allegiance.,Finish 3 complete series by the same author,finish_3_complete_series_by_the_same_author_franchise_devotee,author,author,35,/icons/devotee.png,Rare
Extreme Binger,Extreme Binger,Sleep is optional. The story is not.,Any single listening session lasts at least 10 hours,single_listening_session_10_hours_extreme_binger,behavior_session,session,30,/icons/ebinger.png,Rare
Marathon Month,Marathon Month,One hundred hours in a single month. You didn't have a life that month. You had a playlist.,Listen 100 hours in a single month,listen_100_hours_in_a_month_marathon_month,behavior_streak,streak,50,/icons/mmonth.png,Epic
Century Club,Century Club,One hundred books in a single year. That's not reading. That's a competitive sport.,Finish 100 books in a single calendar year,finish_100_books_in_a_year_century_club,milestone_yearly,books,150,/icons/century.png,Legendary
The Completionist,The Completionist,Fifty achievements unlocked. You didn't just play the game. You beat it. The System has nothing left to teach you.,Earn 50 other achievements,earn_50_achievements_the_completionist,meta,meta,100,/icons/completionist.png,Legendary
Monthly Grind,Monthly Grind,Twenty days in a month. Consistency beats motivation.,Listen on 20 distinct days in a single month,listen_20_distinct_days_in_a_month_monthly_grind,behavior_streak,streak,30,/icons/grind.png,Rare
Committed,Time Served,One hundred hours listened. That's a part-time job you volunteered for.,Reach 100 hours of total listening time.,reach_100_hours_of_total_listening_time_time_served,milestone_time,time,25,/icons/timeserved.png,Uncommon
Dungeon Crawler Carl,Donut's Royal Court,"You saved the world because of a cat. A talking, magical cat. Princess Donut accepts your awkward leadership. The System just accepts your survival.",Complete all books in Dungeon Crawler Carl,complete_all_books_in_dungeon_crawler_carl_donut_s_royal_cou,series_complete,series,25,/icons/dcc.png,Rare
Weekend Marathon,Weekend Marathon,Weekends are for rest. You chose story.,Listen for at least 10 hours over a single weekend,weekend_listening_10_hours_weekend_marathon,behavior_session,session,25,/icons/weekend_marathon.png,Uncommon
Superfan,Author Stalker (Legally),Five books by the same author. You're not obsessed. You're 'consistent.',Finish 5 books by the same author.,finish_5_books_by_the_same_author_author_stalker_legally,author,author,20,/icons/superfan.png,Uncommon
The Long Haul,Thirty-Hour Sentence,You finished a book longer than 30 hours. That wasn't a book. That was a hostage situation.,Finish a book that is over 30 hours long.,finish_a_book_that_is_over_30_hours_long_thirty_hour_sentenc,duration,duration,20,/icons/longhaul.png,Uncommon
The Decade,Double Digits,Ten books. You've formed a habit. The System suggests you stop pretending otherwise.,Finish 10 books total.,finish_10_books_total_double_digits,milestone_books,books,20,/icons/decade.png,Uncommon
